frame,timestamp_sec,player,shot
272,10.88,2,BACKHAND
272,10.88,3,FOREHAND
273,10.92,1,SMASH
273,10.92,2,FOREHAND
274,10.96,1,SMASH
274,10.96,2,FOREHAND
275,11.0,1,SMASH
275,11.0,2,BACKHAND
276,11.04,1,SMASH
276,11.04,2,BACKHAND
277,11.08,1,SMASH
277,11.08,2,BACKHAND
277,11.08,3,SMASH
278,11.12,1,SMASH
278,11.12,2,FOREHAND
278,11.12,3,SMASH
279,11.16,1,SMASH
279,11.16,2,FOREHAND
279,11.16,3,SMASH
280,11.2,1,SMASH
280,11.2,2,BACKHAND
280,11.2,3,SMASH
281,11.24,1,SMASH
281,11.24,2,BACKHAND
281,11.24,3,SMASH
282,11.28,1,SMASH
282,11.28,2,BACKHAND
282,11.28,3,SMASH
282,11.28,4,FOREHAND
283,11.32,1,BACKHAND
283,11.32,2,BACKHAND
283,11.32,3,SMASH
284,11.36,1,BACKHAND
284,11.36,2,SMASH
284,11.36,3,BACKHAND
285,11.4,1,SMASH
285,11.4,2,SMASH
285,11.4,3,BACKHAND
286,11.44,1,SMASH
286,11.44,2,SMASH
286,11.44,3,BACKHAND
286,11.44,4,FOREHAND
287,11.48,1,SMASH
287,11.48,2,BACKHAND
287,11.48,3,SMASH
287,11.48,4,FOREHAND
288,11.52,1,SMASH
288,11.52,2,BACKHAND
288,11.52,3,SMASH
288,11.52,4,FOREHAND
289,11.56,1,SMASH
289,11.56,2,BACKHAND
289,11.56,3,FOREHAND
289,11.56,4,BACKHAND
290,11.6,1,SMASH
290,11.6,2,FOREHAND
290,11.6,3,FOREHAND
290,11.6,4,BACKHAND
291,11.64,1,SMASH
291,11.64,2,FOREHAND
291,11.64,3,FOREHAND
292,11.68,1,SMASH
292,11.68,2,BACKHAND
292,11.68,3,FOREHAND
293,11.72,1,SMASH
293,11.72,2,BACKHAND
293,11.72,3,FOREHAND
294,11.76,1,SMASH
294,11.76,2,BACKHAND
294,11.76,3,FOREHAND
295,11.8,1,SMASH
